company_id,company_name,year,co2_avoided_tons,renewable_capacity_mw,water_saved_gallons,waste_diverted_tons,esg_score,diversity_pct,safety_incidents,community_investment_k
PC001,SolarEdge Systems,2021,35000,120.0,0,850,79,36.2,4,152
PC001,SolarEdge Systems,2022,40250,138.0,0,977,80,38.3,5,220
PC001,SolarEdge Systems,2023,45500,156.0,0,1105,82,40.5,4,253
PC001,SolarEdge Systems,2024,50750,174.0,0,1232,86,44.2,1,307
PC002,WindFlow Energy,2021,42000,200.0,0,620,83,34.0,5,166
PC002,WindFlow Energy,2022,48300,230.0,0,713,85,39.3,4,192
PC002,WindFlow Energy,2023,54600,260.0,0,806,85,39.2,2,266
PC002,WindFlow Energy,2024,60900,290.0,0,899,87,43.3,2,307
PC003,GreenBuild Materials,2021,8500,0.0,45000,12000,75,35.0,4,134
PC003,GreenBuild Materials,2022,9775,0.0,51750,13800,78,38.2,3,210
PC003,GreenBuild Materials,2023,11050,0.0,58500,15600,80,42.2,2,267
PC003,GreenBuild Materials,2024,12325,0.0,65250,17400,83,46.0,2,298
PC004,AquaPure Technologies,2021,5200,0.0,850000,2800,82,34.4,5,169
PC004,AquaPure Technologies,2022,5980,0.0,977500,3220,83,39.3,3,184
PC004,AquaPure Technologies,2023,6760,0.0,1105000,3640,83,41.8,3,246
PC004,AquaPure Technologies,2024,7540,0.0,1232500,4060,88,42.6,1,283
PC005,TerraFarm Ag,2021,12000,15.0,120000,4500,74,34.5,4,165
PC005,TerraFarm Ag,2022,13800,17.2,138000,5175,74,39.6,3,210
PC005,TerraFarm Ag,2023,15600,19.5,156000,5850,76,39.3,2,245
PC005,TerraFarm Ag,2024,17400,21.8,174000,6525,79,43.0,3,284
PC006,EV GridLink,2021,28000,0.0,0,380,85,33.0,5,132
PC006,EV GridLink,2022,32200,0.0,0,437,86,36.5,3,210
PC006,EV GridLink,2023,36400,0.0,0,494,90,40.0,2,245
PC006,EV GridLink,2024,40600,0.0,0,551,91,45.5,2,297
PC007,CircularPack,2021,6800,0.0,25000,18000,80,36.9,4,132
PC007,CircularPack,2022,7820,0.0,28750,20700,83,38.1,5,217
PC007,CircularPack,2023,8840,0.0,32500,23400,83,41.8,2,251
PC007,CircularPack,2024,9860,0.0,36250,26100,86,44.8,3,320
PC008,BioEnergy Solutions,2021,15000,8.0,0,45000,77,34.5,6,132
PC008,BioEnergy Solutions,2022,17250,9.2,0,51750,78,39.8,4,198
PC008,BioEnergy Solutions,2023,19500,10.4,0,58500,81,40.1,3,246
PC008,BioEnergy Solutions,2024,21750,11.6,0,65250,82,43.1,1,319
